what,kind,bundleId,bundleVersion,description,time
,,,,,
activated,perspective,org.eclipse.jdt.ui,,org.eclipse.jdt.ui.JavaPerspective,1.61945E+12
started,bundle,org.eclipse.osgi,3.6.2.R36x_v20110210,org.eclipse.osgi,1.61945E+12
started,bundle,org.eclipse.equinox.simpleconfigurator,1.0.200.v20100503,org.eclipse.equinox.simpleconfigurator,1.61945E+12
started,bundle,com.ibm.icu,4.2.1.v20100412,com.ibm.icu,1.61945E+12
started,bundle,org.eclipse.compare,3.5.101.R36x_v20100929-0800,org.eclipse.compare,1.61945E+12
started,bundle,org.eclipse.compare.core,3.5.101.R36x_v20100929-0800,org.eclipse.compare.core,1.61945E+12
started,bundle,org.eclipse.core.contenttype,3.4.100.v20100505-1235,org.eclipse.core.contenttype,1.61945E+12
started,bundle,org.eclipse.core.databinding.observable,1.3.0.I20100601-0800,org.eclipse.core.databinding.observable,1.61945E+12
started,bundle,org.eclipse.core.expressions,3.4.200.v20100505,org.eclipse.core.expressions,1.61945E+12
started,bundle,org.eclipse.core.filebuffers,3.5.100.v20100520-0800,org.eclipse.core.filebuffers,1.61945E+12
started,bundle,org.eclipse.core.filesystem,1.3.1.R36x_v20100727-0745,org.eclipse.core.filesystem,1.61945E+12
started,bundle,org.eclipse.core.jobs,3.5.1.R36x_v20100824,org.eclipse.core.jobs,1.61945E+12
started,bundle,org.eclipse.core.net,1.2.100.I20100511-0800,org.eclipse.core.net,1.61945E+12
started,bundle,org.eclipse.core.resources,3.6.1.R36x_v20110131-1630,org.eclipse.core.resources,1.61945E+12
started,bundle,org.eclipse.core.runtime,3.6.0.v20100505,org.eclipse.core.runtime,1.61945E+12
started,bundle,org.eclipse.core.runtime.compatibility,3.2.100.v20100505,org.eclipse.core.runtime.compatibility,1.61945E+12
started,bundle,org.eclipse.core.runtime.compatibility.auth,3.2.200.v20100517,org.eclipse.core.runtime.compatibility.auth,1.61945E+12
started,bundle,org.eclipse.debug.core,3.6.0.v20100519,org.eclipse.debug.core,1.61945E+12
started,bundle,org.eclipse.debug.ui,3.6.3.v20101201_r362,org.eclipse.debug.ui,1.61945E+12
started,bundle,org.eclipse.equinox.app,1.3.1.R36x_v20100803,org.eclipse.equinox.app,1.61945E+12
started,bundle,org.eclipse.equinox.common,3.6.0.v20100503,org.eclipse.equinox.common,1.61945E+12
started,bundle,org.eclipse.equinox.ds,1.2.1.R36x_v20100803,org.eclipse.equinox.ds,1.61945E+12
started,bundle,org.eclipse.equinox.event,1.2.0.v20100503,org.eclipse.equinox.event,1.61945E+12
started,bundle,org.eclipse.equinox.p2.core,2.0.3.R36x_v20110111,org.eclipse.equinox.p2.core,1.61945E+12
started,bundle,org.eclipse.equinox.p2.directorywatcher,1.0.203.R36x_v20101220,org.eclipse.equinox.p2.directorywatcher,1.61945E+12
started,bundle,org.eclipse.equinox.p2.engine,2.0.1.R36x_v20110201,org.eclipse.equinox.p2.engine,1.61945E+12
started,bundle,org.eclipse.equinox.p2.metadata,2.0.1.R36x_v20101202,org.eclipse.equinox.p2.metadata,1.61945E+12
started,bundle,org.eclipse.equinox.p2.metadata.repository,1.1.0.v20100513,org.eclipse.equinox.p2.metadata.repository,1.61945E+12
started,bundle,org.eclipse.equinox.p2.operations,2.0.0.v20100510,org.eclipse.equinox.p2.operations,1.61945E+12
started,bundle,org.eclipse.equinox.p2.reconciler.dropins,1.1.2.R36x_v20110114,org.eclipse.equinox.p2.reconciler.dropins,1.61945E+12
started,bundle,org.eclipse.equinox.p2.repository,2.0.2.R36x_v20110111-1500,org.eclipse.equinox.p2.repository,1.61945E+12
started,bundle,org.eclipse.equinox.p2.ui.sdk.scheduler,1.0.0.v20100507-1815,org.eclipse.equinox.p2.ui.sdk.scheduler,1.61945E+12
started,bundle,org.eclipse.equinox.p2.updatechecker,1.1.101.R36x_v20100823,org.eclipse.equinox.p2.updatechecker,1.61945E+12
started,bundle,org.eclipse.equinox.preferences,3.3.0.v20100503,org.eclipse.equinox.preferences,1.61945E+12
started,bundle,org.eclipse.equinox.registry,3.5.0.v20100503,org.eclipse.equinox.registry,1.61945E+12
started,bundle,org.eclipse.equinox.security,1.0.200.v20100503,org.eclipse.equinox.security,1.61945E+12
started,bundle,org.eclipse.equinox.util,1.0.200.v20100503,org.eclipse.equinox.util,1.61945E+12
started,bundle,org.eclipse.help,3.5.0.v20100524,org.eclipse.help,1.61945E+12
started,bundle,org.eclipse.jdt.core,3.6.2.v_A76_R36x,org.eclipse.jdt.core,1.61945E+12
started,bundle,org.eclipse.jdt.core.manipulation,1.3.0.v20100520-0800,org.eclipse.jdt.core.manipulation,1.61945E+12
started,bundle,org.eclipse.jdt.launching,3.5.200.v20110105_r362,org.eclipse.jdt.launching,1.61945E+12
started,bundle,org.eclipse.jdt.ui,3.6.2.r362_v20110203,org.eclipse.jdt.ui,1.61945E+12
started,bundle,org.eclipse.jface,3.6.2.M20110210-1200,org.eclipse.jface,1.61945E+12
started,bundle,org.eclipse.jsch.core,1.1.200.I20100505-1245,org.eclipse.jsch.core,1.61945E+12
started,bundle,org.eclipse.team.core,3.5.101.R36x_v20110203-1036,org.eclipse.team.core,1.61945E+12
started,bundle,org.eclipse.team.cvs.core,3.3.301.R36x_v20110119-0815,org.eclipse.team.cvs.core,1.61945E+12
started,bundle,org.eclipse.team.cvs.ui,3.3.302.R36x_v20110203-1036,org.eclipse.team.cvs.ui,1.61945E+12
started,bundle,org.eclipse.team.ui,3.5.102.R36x_v20110203-1036,org.eclipse.team.ui,1.61945E+12
started,bundle,org.eclipse.ui,3.6.2.M20110203-1100,org.eclipse.ui,1.61945E+12
started,bundle,org.eclipse.ui.console,3.5.0.v20100526,org.eclipse.ui.console,1.61945E+12
